,User,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Text
0,@BBC,Sat Mar 31 16:15:07 +0000 2018,1,0.0,0.0,1.0,0.0,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ?? ?

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA"
1,@BBC,Sat Mar 31 15:43:37 +0000 2018,2,0.0,0.0,1.0,0.0,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02"
2,@BBC,Sat Mar 31 15:42:42 +0000 2018,3,0.765,0.337,0.663,0.0,"RT @BBCRadio3: Get ready to luxuriate in the sounds of this English choral masterpiece.
https://t.co/bMDLRqB33p"
3,@BBC,Sat Mar 31 15:42:08 +0000 2018,4,-0.3612,0.0,0.857,0.143,RT @BBCLookEast: Here's the moment Stephen Hawking's funeral cortege arrived at the church in Cambridge. https://t.co/3Nu4GcHMoX
4,@BBC,Sat Mar 31 13:01:05 +0000 2018,5,0.128,0.185,0.662,0.152,"? True or false? 
@NiallOfficial screamed when @JustinBieber followed him on Twitter.  https://t.co/CIcv8AR2sy"
5,@BBC,Sat Mar 31 12:31:02 +0000 2018,6,0.0,0.0,1.0,0.0,"This is what happens when you get an OWL to deliver the rings at your wedding... ???
https://t.co/yi1tbmLg99"
6,@BBC,Sat Mar 31 11:50:05 +0000 2018,7,-0.3404,0.0,0.821,0.179,"? Don't like plastic in the supermarkets? 
Why not bin the lot! ???https://t.co/gfxquQUoj4"
7,@BBC,Sat Mar 31 11:28:03 +0000 2018,8,0.1779,0.362,0.638,0.0,It's still growing ? https://t.co/T5YocDauYj
8,@BBC,Sat Mar 31 11:26:30 +0000 2018,9,-0.6351,0.0,0.82,0.18,"RT @BBCArchive: Eh-oh! #OnThisDay 1997 the Teletubbies was first broadcast, featuring Tinky Winky, Dipsy, Laa-Laa, and Po. Again, again! ht…"
9,@BBC,Sat Mar 31 10:37:23 +0000 2018,10,0.7579,0.255,0.745,0.0,"RT @bbcgetinspired: BBC Get Inspired has teamed up with @PHE_uk's @OneYouPHE campaign to bring you the free #CouchTo5K smartphone app.

Sig…"
10,@BBC,Sat Mar 31 10:37:18 +0000 2018,11,0.93,0.58,0.42,0.0,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
11,@BBC,Sat Mar 31 10:27:04 +0000 2018,12,0.0,0.0,1.0,0.0,"? The world is running out of computer storage. 

? Could DNA be the answer? https://t.co/ww2UziMrWn"
12,@BBC,Sat Mar 31 09:04:03 +0000 2018,13,0.6369,0.198,0.802,0.0,The greatest wall you've never heard of: these mesmerising mosaics are hidden in Pakistan's Lahore Fort. ?… https://t.co/1urqLOyZAw
13,@BBC,Sat Mar 31 08:04:03 +0000 2018,14,0.0,0.0,1.0,0.0,"Thinking of getting off social media? 

These people did. Here's how they survive (and thrive).  https://t.co/5yB6SW1mTG"
14,@BBC,Sat Mar 31 07:03:06 +0000 2018,15,0.0,0.0,1.0,0.0,Brown bear cubs living in the forests of Sweden are spending longer with their mothers. ? ? https://t.co/WILDpFotl9 https://t.co/RukaU9k8Ja
15,@BBC,Fri Mar 30 20:23:06 +0000 2018,16,-0.4767,0.0,0.846,0.154,"Everyone is at rock bottom. And then Matt makes things worse. ?

@Matt_LeBlanc, @StephenMangan and Tamsin Greig are… https://t.co/wMqkSpRiUJ"
16,@BBC,Fri Mar 30 19:00:32 +0000 2018,17,-0.3182,0.0,0.723,0.277,?? When a cheetah interrupts your safari. https://t.co/Zi29GwxYA3
17,@BBC,Fri Mar 30 18:41:56 +0000 2018,18,0.6369,0.219,0.781,0.0,"RT @BBCOne: The search is on for Britain’s Best Home Cook. 

#BBHC @ClaudiaWinkle @DanDoherty_ @Chris_Bavin https://t.co/yw46HaGnKW"
18,@BBC,Fri Mar 30 18:01:02 +0000 2018,19,-0.5983,0.0,0.804,0.196,"? 'JESUS DID NOT HAVE CUSTARD CREAMS!'

Don't let the Lent Police catch you cheating this #EasterWeekend. https://t.co/lLXFoF5fdg"
19,@BBC,Fri Mar 30 17:29:06 +0000 2018,20,0.0,0.0,1.0,0.0,"An Oscar-winning short film, The Silent Child tells the story of a profoundly deaf child born to hearing parents, w… https://t.co/AD1CGpoZvu"
20,@BBC,Fri Mar 30 17:06:00 +0000 2018,21,0.0,0.0,1.0,0.0,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77"
21,@BBC,Fri Mar 30 16:26:45 +0000 2018,22,0.5719,0.266,0.734,0.0,?? A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv
22,@BBC,Fri Mar 30 16:02:04 +0000 2018,23,-0.2144,0.073,0.81,0.116,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9"
23,@BBC,Fri Mar 30 15:25:47 +0000 2018,24,0.8715,0.377,0.623,0.0,"RT @bbceurovision: ?? Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…"
24,@BBC,Fri Mar 30 15:10:56 +0000 2018,25,0.0,0.0,1.0,0.0,RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV
25,@BBC,Fri Mar 30 14:54:01 +0000 2018,26,0.2023,0.073,0.927,0.0,We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V
26,@BBC,Fri Mar 30 13:05:00 +0000 2018,27,0.5859,0.241,0.759,0.0,Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf
27,@BBC,Fri Mar 30 12:04:01 +0000 2018,28,0.4019,0.124,0.876,0.0,"Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm"
28,@BBC,Fri Mar 30 10:39:54 +0000 2018,29,0.4574,0.213,0.697,0.09,RT @BBC6Music: Elementary! Martin Freeman and @ACIDJAZZRECS' @eddiepiller delve into their record bag(gins) to share some choice cuts as th…
29,@BBC,Fri Mar 30 10:33:02 +0000 2018,30,0.0,0.0,1.0,0.0,????? A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v
30,@BBC,Fri Mar 30 10:03:04 +0000 2018,31,0.25,0.091,0.909,0.0,"Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB"
31,@BBC,Fri Mar 30 09:06:02 +0000 2018,32,0.0,0.0,1.0,0.0,It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig
32,@BBC,Fri Mar 30 08:27:05 +0000 2018,33,0.0,0.0,1.0,0.0,"? A squeeze of pineapple juice works wonders for dough...

? Here are 10 things you knead to know about bread! 

?… https://t.co/ajVBvN31mi"
33,@BBC,Fri Mar 30 07:30:02 +0000 2018,34,0.0258,0.126,0.751,0.123,"?? This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW"
34,@BBC,Thu Mar 29 20:41:00 +0000 2018,35,-0.296,0.0,0.901,0.099,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj"
35,@BBC,Thu Mar 29 18:45:08 +0000 2018,36,0.0,0.0,1.0,0.0,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
??? Here's your Easter weekend forecast: https://t.co/EXeBCHutS4"
36,@BBC,Thu Mar 29 18:44:20 +0000 2018,37,0.0,0.0,1.0,0.0,RT @bbcrb: Retirement's looking rosy for Hank the police horse! ?? https://t.co/xB9kXZeWNE
37,@BBC,Thu Mar 29 18:44:11 +0000 2018,38,0.0,0.0,1.0,0.0,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... ? ? https://t.co/qp6xw04IiC"
38,@BBC,Thu Mar 29 18:43:51 +0000 2018,39,0.0,0.0,1.0,0.0,RT @BBCOne: Anyone else having a 'chilled one'? ? https://t.co/WRBeDdaK18
